"Fecha";"Miles de millones COP"
"2005/03/31";102750,771878151
"2005/06/30";104798,455496735
"2005/09/30";104980,853291876
"2005/12/31";106546,919425602
"2006/03/31";108840,710874977
"2006/06/30";110789,167233114
"2006/09/30";112018,565004729
"2006/12/31";113294,55688718
"2007/03/31";115384,59459104
"2007/06/30";116858,823233945
"2007/09/30";119581,783018143
"2007/12/31";120765,799156872
"2008/03/31";121288,873412762
"2008/06/30";122546,092494615
"2008/09/30";123794,685570959
"2008/12/31";124877,348521664
"2009/03/31";124919,61966624
"2009/06/30";125311,00623429
"2009/09/30";126057,427690165
"2009/12/31";127127,946409303
"2010/03/31";129781,539915579
"2010/06/30";131144,413285881
"2010/09/30";133186,375706226
"2010/12/31";134889,671092313
"2011/03/31";135940,248052515
"2011/06/30";139376,551889004
"2011/09/30";140702,146608032
"2011/12/31";142974,053450448
"2012/03/31";144784,418734188
"2012/06/30";146538,267418154
"2012/09/30";148393,978457058
"2012/12/31";149977,3353906
"2013/03/31";152433,891891657
"2013/06/30";154815,952890378
"2013/09/30";155896,517628532
"2013/12/31";158119,637589433
"2014/03/31";159682,950971286
"2014/06/30";160952,576582013
"2014/09/30";162141,289348617
"2014/12/31";165357,183098084
"2015/03/31";166300,45990471
"2015/06/30";167584,957313865
"2015/09/30";170413,050258168
"2015/12/31";165902,532523256
"2016/03/31";168830,137030816
"2016/06/30";170088,868343287
"2016/09/30";170600,631676545
"2016/12/31";171581,362949352
"2017/03/31";172410,13462221
"2017/06/30";173948,045466899
"2017/09/30";175064,948859837
"2017/12/31";175549,871051052
"2018/03/31";179009,451306282
"2018/06/30";180826,180872763
"2018/09/30";182035,767601071
"2018/12/31";182776,600219885
"2019/03/31";185189,155385324
"2019/06/30";188349,002349413
"2019/09/30";190037,811757751
"2019/12/31";191452,030507512
"2020/03/31";191723,45453481
"2020/06/30";166765,71083783
"2020/09/30";176248,394120473
"2020/12/31";191002,574784181
"2021/03/31";195864,308576653
"2021/06/30";201761,912227822
