"Fecha";"Miles de millones COP"
"1975/12/31";183808,95
"1976/12/31";192586,43
"1977/12/31";199681,96
"1978/12/31";216761,09
"1979/12/31";228651,24
"1980/12/31";239233,96
"1981/12/31";244009,08
"1982/12/31";247164,59
"1983/12/31";251460,93
"1984/12/31";260616,96
"1985/12/31";268700,09
"1986/12/31";284408,05
"1987/12/31";299727,27
"1988/12/31";313764,87
"1989/12/31";323597,23
"1990/12/31";332996,08
"1991/12/31";342151,83
"1992/12/31";353696,23
"1993/12/31";373821,98
"1994/12/31";393444,63
"1995/12/31";411887,96
"1996/12/31";428394,88
"1997/12/31";443405,49
"1998/12/31";445056,83
"1999/12/31";425021,96
"2000/12/31";429158,7
"2001/12/31";441906,77
"2002/12/31";450707,52
"2003/12/31";471264,17
"2004/12/31";491303,07
"2005/12/31";514853
"2006/12/31";549435
"2007/12/31";586457
"2008/12/31";605713
"2009/12/31";612616
"2010/12/31";640151
"2011/12/31";684628
"2012/12/31";711415
"2013/12/31";747939
"2014/12/31";781589
"2015/12/31";804692
"2016/12/31";821489
"2017/12/31";832656
"2018/12/31";854008
"2019/12/31";882029
"2020/12/31";822088,44
