"Fecha";"Miles de millones COP"
"1982/01/09";133,458
"1982/01/16";129,224
"1982/01/23";132,232
"1982/01/30";131,813
"1982/02/06";137,488
"1982/02/13";129,847
"1982/02/20";135,264
"1982/02/27";134,993
"1982/03/06";135,189
"1982/03/13";133,532
"1982/03/20";133,585
"1982/03/27";139,844
"1982/04/03";132,198
"1982/04/10";130,424
"1982/04/17";135,017
"1982/04/24";137,603
"1982/05/01";135,303
"1982/05/08";133,489
"1982/05/15";128,149
"1982/05/22";132,196
"1982/05/29";134,082
"1982/06/05";130,355
"1982/06/12";130,617
"1982/06/19";130,279
"1982/06/26";140,522
"1982/07/03";136,265
"1982/07/10";133,434
"1982/07/17";124,08
"1982/07/24";131,613
"1982/07/31";132,116
"1982/08/07";127,762
"1982/08/14";128,143
"1982/08/21";125,541
"1982/08/28";129,368
"1982/09/04";124,902
"1982/09/11";126,734
"1982/09/18";125,717
"1982/09/25";129,135
"1982/10/02";126,719
"1982/10/09";124,659
"1982/10/16";125,952
"1982/10/23";128,127
"1982/10/30";127,215
"1982/11/06";128,4
"1982/11/13";131,556
"1982/11/20";134,274
"1982/11/27";140,554
"1982/12/04";139,779
"1982/12/11";139,118
"1982/12/18";142,031
"1982/12/25";139,918
"1982/12/31";129,286
"1983/01/08";152,16
"1983/01/15";155,331
"1983/01/22";155,094
"1983/01/29";145,578
"1983/02/05";145,439
"1983/02/12";150,453
"1983/02/19";151,348
"1983/02/26";154,005
"1983/03/05";144,744
"1983/03/12";145,303
"1983/03/19";138,46
"1983/03/26";142,274
"1983/04/02";132,736
"1983/04/09";137,692
"1983/04/16";135,133
"1983/04/23";136,007
"1983/04/30";139,806
"1983/05/07";136,193
"1983/05/14";136,881
"1983/05/21";137,865
"1983/05/28";142,554
"1983/06/04";134,947
"1983/06/11";132,988
"1983/06/18";133,322
"1983/06/25";140,503
"1983/07/02";135,054
"1983/07/09";140,929
"1983/07/16";145,697
"1983/07/23";141,515
"1983/07/30";146,812
"1983/08/06";149,474
"1983/08/13";146,735
"1983/08/20";150,69
"1983/08/27";154,043
"1983/09/03";150,8
"1983/09/10";151,157
"1983/09/17";148,368
"1983/09/24";146,02
"1983/10/01";153,195
"1983/10/08";151,844
