"Fecha";"Miles de millones COP"
"1984/01/31";269,334
"1984/02/29";258,124
"1984/03/31";253,057
"1984/04/30";259,572
"1984/05/31";251,049
"1984/06/30";262,107
"1984/07/31";258,927
"1984/08/31";247,319
"1984/09/30";244,998
"1984/10/31";250,007
"1984/11/30";260,381
"1984/12/31";335,346
"1985/01/31";308,023
"1985/02/28";307,383
"1985/03/31";310,126
"1985/04/30";298,508
"1985/05/31";302,523
"1985/06/30";310,496
"1985/07/31";320,777
"1985/08/31";325,229
"1985/09/30";316,514
"1985/10/31";323,577
"1985/11/30";357,71
"1985/12/31";429,273
"1986/01/31";425,416
"1986/02/28";417,963
"1986/03/31";432,489
"1986/04/30";411,625
"1986/05/31";419,523
"1986/06/30";427,01
"1986/07/31";428,242
"1986/08/31";407,062
"1986/09/30";412,81
"1986/10/31";422,62
"1986/11/30";455,82
"1986/12/31";549,816
"1987/01/31";490,484
"1987/02/28";508,235
"1987/03/31";517,83
"1987/04/30";520,077
"1987/05/31";550,556
"1987/06/30";586,789
"1987/07/31";569,956
"1987/08/31";582,668
"1987/09/30";565,9
"1987/10/31";578,407
"1987/11/30";589,883
"1987/12/31";715,818
"1988/01/31";657,12
"1988/02/29";660,792
"1988/03/31";691,549
"1988/04/30";661,733
"1988/05/31";678,218
"1988/06/30";701,421
"1988/07/31";701,704
"1988/08/31";703,558
"1988/09/30";689,452
"1988/10/31";727,818
"1988/11/30";802,254
"1988/12/31";914,865
"1989/01/31";876,688
"1989/02/28";882,535
"1989/03/31";887,501
"1989/04/30";918,642
"1989/05/31";924,577
"1989/06/30";933,077
"1989/07/31";985,407
"1989/08/31";954,826
"1989/09/30";910,127
"1989/10/31";921,618
"1989/11/30";966,33
"1989/12/31";1171,693
"1990/01/31";1032,803
"1990/02/28";1051,872
"1990/03/31";1071,516
"1990/04/30";1084,503
"1990/05/31";1090,783
"1990/06/30";1121,187
"1990/07/31";1165,135
"1990/08/31";1132,179
"1990/09/30";1153,346
"1990/10/31";1205,292
"1990/11/30";1279,398
"1990/12/31";1493,454
"1991/01/31";1508,81
"1991/02/28";1420,671
"1991/03/31";1343,553
"1991/04/30";1323,72
"1991/05/31";1409,172
"1991/06/30";1412,522
"1991/07/31";1423,072
"1991/08/31";1459,974
"1991/09/30";1564,154
"1991/10/31";1707,056
"1991/11/30";1916,567
"1991/12/31";2289,984
"1992/01/31";2028,106
"1992/02/29";2152,87
"1992/03/31";2214,332
"1992/04/30";2396,353
"1992/05/31";2435,951
"1992/06/30";2604,939
"1992/07/31";2569,227
"1992/08/31";2590,823
"1992/09/30";2562,27
"1992/10/31";2670,171
"1992/11/30";2860,067
"1992/12/31";3312,544
"1993/01/31";3010,262
"1993/02/28";3031,221
"1993/03/31";3137,153
"1993/04/30";3184,611
"1993/05/31";3337,61
"1993/06/30";3492,878
"1993/07/31";3458,013
"1993/08/31";3586,385
"1993/09/30";3484,387
"1993/10/31";3621,891
"1993/11/30";3833,564
"1993/12/31";4418,987
"1994/01/31";4092,054
"1994/02/28";4135,296
"1994/03/31";4339,539
"1994/04/30";4300,734
"1994/05/31";4314,068
"1994/06/30";4535,048
"1994/07/31";4619,993
"1994/08/31";4473,486
"1994/09/30";4596,763
"1994/10/31";4744,645
"1994/11/30";5062,453
"1994/12/31";5634,422
"1995/01/31";5165,181
"1995/02/28";5203,876
"1995/03/31";5028,159
"1995/04/30";5422,707
"1995/05/31";5528,508
"1995/06/30";5559,744
"1995/07/31";5480,838
"1995/08/31";5404,263
"1995/09/30";5521,655
"1995/10/31";5605,075
"1995/11/30";5855,457
"1995/12/31";6267,087
"1996/01/31";5987,209
"1996/02/29";5660,698
"1996/03/31";6158,694
"1996/04/30";5888,384
"1996/05/31";5839,221
"1996/06/30";5928,295
"1996/07/31";5936,799
"1996/08/31";5777,792
"1996/09/30";5806,671
"1996/10/31";5577,327
"1996/11/30";5567,777
"1996/12/31";6627,573
"1997/01/31";6044,179
"1997/02/28";5933,998
"1997/03/31";6127,346
"1997/04/30";6348,568
"1997/05/31";6307,777
"1997/06/30";6784,896
"1997/07/31";6696,262
"1997/08/31";6633,166
"1997/09/30";6704,261
"1997/10/31";6732,434
"1997/11/30";7166,633
"1997/12/31";8287,062
"1998/01/31";7409,73
"1998/02/28";7380,506
"1998/03/31";7348,478
"1998/04/30";7430,569
"1998/05/31";7149,37
"1998/06/30";7339,032
"1998/07/31";7328,458
"1998/08/31";7318,69
"1998/09/30";7055,947
"1998/10/31";6463,053
"1998/11/30";6793,87
"1998/12/31";6923,062
"1999/01/31";6608,321
"1999/02/28";6242,703
"1999/03/31";6887,74
"1999/04/30";6829,183
"1999/05/31";7015,573
"1999/06/30";7203,224
"1999/07/31";7065,806
"1999/08/31";7391,551
"1999/09/30";7497,776
"1999/10/31";7598,922
"1999/11/30";7113,054
"1999/12/31";9739,611078
"2000/01/31";7816,604445
"2000/02/29";7704,2473
"2000/03/31";7132,064358
"2000/04/30";7435,738354
"2000/05/31";8002,759005
"2000/06/30";8369,006834
"2000/07/31";8286,530885
"2000/08/31";8072,63384
"2000/09/30";7873,357506
"2000/10/31";7985,300157
"2000/11/30";8838,201538
"2000/12/31";10710,351403
"2001/01/31";9723,848434
"2001/02/28";9013,140868
"2001/03/31";8818,684721
"2001/04/30";9044,668143
"2001/05/31";9433,480749
"2001/06/30";9477,045577
"2001/07/31";9496,166816
