"Fecha";"Miles de millones COP"
"2005/03/31";102499,166284894
"2005/06/30";105099,550379512
"2005/09/30";104845,88143353
"2005/12/31";106632,401829447
"2006/03/31";108855,979030381
"2006/06/30";110771,639928932
"2006/09/30";111922,727546439
"2006/12/31";113392,653494247
"2007/03/31";115271,882851828
"2007/06/30";117000,532331521
"2007/09/30";119529,954446113
"2007/12/31";120788,630370537
"2008/03/31";121492,49097226
"2008/06/30";122581,791463039
"2008/09/30";123627,079435613
"2008/12/31";124805,638129088
"2009/03/31";124761,92580849
"2009/06/30";125256,445321041
"2009/09/30";126136,778766776
"2009/12/31";127260,850103693
"2010/03/31";129466,959934094
"2010/06/30";131271,592346951
"2010/09/30";133263,805783739
"2010/12/31";134999,641935216
"2011/03/31";135938,992680196
"2011/06/30";139247,821423921
"2011/09/30";140794,409912793
"2011/12/31";143011,775983091
"2012/03/31";145167,774845722
"2012/06/30";146367,868289394
"2012/09/30";148305,877705513
"2012/12/31";149852,47915937
"2013/03/31";151999,42682151
"2013/06/30";155006,485710474
"2013/09/30";156087,299285818
"2013/12/31";158172,788182199
"2014/03/31";159781,992568395
"2014/06/30";160698,087884621
"2014/09/30";162310,747475906
"2014/12/31";165343,172071078
"2015/03/31";166155,826003431
"2015/06/30";167682,998106137
"2015/09/30";170517,251733688
"2015/12/31";165844,924156744
"2016/03/31";169222,047295903
"2016/06/30";170031,070392282
"2016/09/30";170403,701571393
"2016/12/31";171444,180740422
"2017/03/31";172435,480693857
"2017/06/30";173709,016244491
"2017/09/30";175118,3601747
"2017/12/31";175710,142886951
"2018/03/31";178636,277168682
"2018/06/30";181032,2161038
"2018/09/30";182051,517828209
"2018/12/31";182927,988899308
"2019/03/31";185291,973240313
"2019/06/30";188143,614040465
"2019/09/30";190044,229812118
"2019/12/31";191548,182907104
"2020/03/31";192327,635707479
"2020/06/30";166331,039756974
"2020/09/30";175974,14148282
"2020/12/31";191107,317330021
"2021/03/31";194670,616818562
