"Fecha";"Porcentaje (%)"
"2002/05/31";28,14
"2002/06/30";27,87
"2002/07/31";27,66
"2002/08/31";27,44
"2002/09/30";27,43
"2002/10/31";27,18
"2002/11/30";27,19
"2002/12/31";26,94
"2003/01/31";27,17
"2003/02/28";27,4
"2003/03/31";27,12
"2003/04/30";27,13
"2003/05/31";27,17
"2003/06/30";26,63
"2003/07/31";26,72
"2003/08/31";27,01
"2003/09/30";27,11
"2003/10/31";27,18
"2003/11/30";26,97
"2003/12/31";26,73
"2004/01/31";26,75
"2004/02/29";26,76
"2004/03/31";26,7
"2004/04/30";26,54
"2004/05/31";26,25
"2004/06/30";26,04
"2004/07/31";25,96
"2004/08/31";25,65
"2004/09/30";25,58
"2004/10/31";25,24
"2004/11/30";25,64
"2004/12/31";24,93
"2005/01/31";25,4
"2005/02/28";25,38
"2005/03/31";24,92
"2005/04/30";24,84
"2005/05/31";24,63
"2005/06/30";24,28
"2005/07/31";24,01
"2005/08/31";23,79
"2005/09/30";23,55
"2005/10/31";23,22
"2005/11/30";23,19
"2005/12/31";22,65
"2006/01/31";22,68
"2006/02/28";22,55
"2006/03/31";22,25
"2006/04/30";21,14
"2006/05/31";20,51
"2006/06/30";20,07
"2006/07/31";19,61
"2006/08/31";19,37
"2006/09/30";19,38
"2006/10/31";19,72
"2006/11/30";19,7
"2006/12/31";19,57
"2007/01/31";19,16
"2007/02/28";19,02
"2007/03/31";18,52
"2007/04/30";19,55
"2007/05/31";21,19
"2007/06/30";21,85
"2007/07/31";23,47
"2007/08/31";23,97
"2007/09/30";24,34
"2007/10/31";25,38
"2007/11/30";25,8
"2007/12/31";25,21
"2008/01/31";25,81
"2008/02/29";26,2
"2008/03/31";25,98
"2008/04/30";25,93
"2008/05/31";24,99
"2008/06/30";25,93
"2008/07/31";25,75
"2008/08/31";25,64
"2008/09/30";25,82
"2008/10/31";25,54
"2008/11/30";25,68
"2008/12/31";25,59
"2009/01/31";25,7
"2009/02/28";25,53
"2009/03/31";25,33
"2009/04/30";24,73
"2009/05/31";24,32
"2009/06/30";23,64
"2009/07/31";22,79
"2009/08/31";22,3
"2009/09/30";21,94
"2009/10/31";21,06
"2009/11/30";20,81
"2009/12/31";20,43
"2010/01/31";20,04
"2010/02/28";19,77
"2010/03/31";19,31
"2010/04/30";18,63
"2010/05/31";18,3
"2010/06/30";18,2
"2010/07/31";17,89
"2010/08/31";17,57
"2010/09/30";17,54
"2010/10/31";16,92
"2010/11/30";16,79
"2010/12/31";16,85
"2011/01/31";17,5
"2011/02/28";17,53
"2011/03/31";17,59
"2011/04/30";17,49
"2011/05/31";17,82
"2011/06/30";18,2
"2011/07/31";18,4
"2011/08/31";18,67
"2011/09/30";18,56
"2011/10/31";18,42
"2011/11/30";18,33
"2011/12/31";18,97
"2012/01/31";20,41
"2012/02/29";19,39
"2012/03/31";19,28
"2012/04/30";19,57
"2012/05/31";19,33
"2012/06/30";19,09
"2012/07/31";19,66
"2012/08/31";19,49
"2012/09/30";18,98
"2012/10/31";18,86
"2012/11/30";18,46
"2012/12/31";18,26
"2013/01/31";19,21
"2013/02/28";18,45
"2013/03/31";18,01
"2013/04/30";18,06
"2013/05/31";17,89
"2013/06/30";17,87
"2013/07/31";17,66
"2013/08/31";17,57
"2013/09/30";17,6
"2013/10/31";17,46
"2013/11/30";17,41
"2013/12/31";17,63
"2014/01/31";18,22
"2014/02/28";17,68
"2014/03/31";17,45
"2014/04/30";17,19
"2014/05/31";17,23
"2014/06/30";17,41
"2014/07/31";17,23
"2014/08/31";17,1
"2014/09/30";17,28
"2014/10/31";17,06
"2014/11/30";17,08
"2014/12/31";16,7
"2015/01/31";17,75
"2015/02/28";17,36
"2015/03/31";17,4
"2015/04/30";17,24
"2015/05/31";17,16
"2015/06/30";17,17
"2015/07/31";16,85
"2015/08/31";16,84
"2015/09/30";16,88
"2015/10/31";17,27
"2015/11/30";17,6
"2015/12/31";17,64
"2016/01/31";18,63
"2016/02/29";18,45
"2016/03/31";18,49
"2016/04/30";18,73
"2016/05/31";19,01
"2016/06/30";19,14
"2016/07/31";19,27
"2016/08/31";19,54
"2016/09/30";19,57
"2016/10/31";19,84
"2016/11/30";19,64
"2016/12/31";19,39
"2017/01/31";20,88
"2017/02/28";20,03
"2017/03/31";19,78
"2017/04/30";19,87
"2017/05/31";19,78
"2017/06/30";19,47
"2017/07/31";19,39
"2017/08/31";18,91
"2017/09/30";18,87
"2017/10/31";18,88
"2017/11/30";18,67
"2017/12/31";18,66
"2018/01/31";19,25
"2018/02/28";18,6
"2018/03/31";18,33
"2018/04/30";18,16
"2018/05/31";17,77
"2018/06/30";17,89
"2018/07/31";18,41
"2018/08/31";18
"2018/09/30";17,7
"2018/10/31";17,5
"2018/11/30";17,28
"2018/12/31";17,21
"2019/01/31";18,43
"2019/02/28";17,82
"2019/03/31";17,66
"2019/04/30";17,85
"2019/05/31";17,08
"2019/06/30";16,9
"2019/07/31";16,66
"2019/08/31";15,86
"2019/09/30";15,53
"2019/10/31";15,51
"2019/11/30";15,43
"2019/12/31";15,54
"2020/01/31";16
"2020/02/29";15,63
"2020/03/31";15,83
"2020/04/30";16,59
"2020/05/31";15,05
"2020/06/30";15
"2020/07/31";14,95
"2020/08/31";15,13
"2020/09/30";14,48
"2020/10/31";14,25
"2020/11/30";14,25
"2020/12/31";14,17
"2021/01/31";14,69
"2021/02/28";13,96
"2021/03/31";13,66
"2021/04/30";13,55
"2021/05/31";13,7
"2021/06/30";13,9
