"Fecha";"Miles de millones COP"
"1984/01/31";648,337
"1984/02/29";663,333
"1984/03/31";670,403
"1984/04/30";671,82
"1984/05/31";672,985
"1984/06/30";685,001
"1984/07/31";696,983
"1984/08/31";706,764
"1984/09/30";733,021
"1984/10/31";750,315
"1984/11/30";751,073
"1984/12/31";752,593
"1985/01/31";827,267
"1985/02/28";861,324
"1985/03/31";875,243
"1985/04/30";890,854
"1985/05/31";905,024
"1985/06/30";926,186
"1985/07/31";960,589
"1985/08/31";972,638
"1985/09/30";997,279
"1985/10/31";1019,573
"1985/11/30";1032,347
"1985/12/31";1040,467
"1986/01/31";1132,445
"1986/02/28";1170,769
"1986/03/31";1205,378
"1986/04/30";1209,696
"1986/05/31";1243,602
"1986/06/30";1262,27
"1986/07/31";1290,963
"1986/08/31";1291,964
"1986/09/30";1322,297
"1986/10/31";1339,327
"1986/11/30";1347,526
"1986/12/31";1387,49
"1987/01/31";1450,914
"1987/02/28";1493,343
"1987/03/31";1544,14
"1987/04/30";1578,907
"1987/05/31";1613,778
"1987/06/30";1634,874
"1987/07/31";1677,319
"1987/08/31";1706,248
"1987/09/30";1759,719
"1987/10/31";1763,208
"1987/11/30";1760,485
"1987/12/31";1750,779
"1988/01/31";1842,345
"1988/02/29";1877,01
"1988/03/31";1904,939
"1988/04/30";1954,28
"1988/05/31";1988,695
"1988/06/30";2023,235
"1988/07/31";2039,464
"1988/08/31";2084,418
"1988/09/30";2114,56
"1988/10/31";2122,196
"1988/11/30";2124,53
"1988/12/31";2141,338
"1989/01/31";2310,443
"1989/02/28";2393,986
"1989/03/31";2452,59
"1989/04/30";2533,731
"1989/05/31";2616,72
"1989/06/30";2673,427
"1989/07/31";2780,264
"1989/08/31";2835,982
"1989/09/30";2844,418
"1989/10/31";2879,068
"1989/11/30";2892,587
"1989/12/31";2887,878
"1990/01/31";3128,897
"1990/02/28";3185,189
"1990/03/31";3264,411
"1990/04/30";3348,873
"1990/05/31";3367,097
"1990/06/30";3448,179
"1990/07/31";3567,751
"1990/08/31";3622,008
"1990/09/30";3744,319
"1990/10/31";3855,933
"1990/11/30";3863,571
"1990/12/31";3911,734
"1991/01/31";4150,42
"1991/02/28";4100,543
"1991/03/31";4141,843
"1991/04/30";4252,118
"1991/05/31";4382,57
"1991/06/30";4358,957
"1991/07/31";4316,805
"1991/08/31";4330,715
"1991/09/30";4529,531
"1991/10/31";4910,048
"1991/11/30";5075,381
"1991/12/31";5266,295
"1992/01/31";5708,168
"1992/02/29";5899,349
"1992/03/31";6153,256
"1992/04/30";6279,688
"1992/05/31";6339,973
"1992/06/30";6504,747
"1992/07/31";6460,861
"1992/08/31";6470,027
"1992/09/30";6695,504
"1992/10/31";6998,99
"1992/11/30";7010,465
"1992/12/31";7237,764
"1993/01/31";7522,107
"1993/02/28";7680,693
"1993/03/31";7987,262
"1993/04/30";8251,712
"1993/05/31";8359,629
"1993/06/30";8824,483
"1993/07/31";9162,427
"1993/08/31";9506,422
"1993/09/30";9533,967
"1993/10/31";10001,128
"1993/11/30";10442,216
"1993/12/31";10692,449
"1994/01/31";11337,523
"1994/02/28";11633,346
"1994/03/31";11984,246
"1994/04/30";12374,634
"1994/05/31";13055,251
"1994/06/30";13032,425
"1994/07/31";13560,059
"1994/08/31";14174,844
"1994/09/30";14553,285
"1994/10/31";14928,72
"1994/11/30";15479,641
"1994/12/31";16150,024
"1995/01/31";16724,259
"1995/02/28";17414,016
