"Fecha";"Miles de millones COP"
"1984/01/31";959,259
"1984/02/29";973,539
"1984/03/31";982,109
"1984/04/30";991,333
"1984/05/31";992,84
"1984/06/30";1009,474
"1984/07/31";1027,512
"1984/08/31";1041,444
"1984/09/30";1074,162
"1984/10/31";1083,034
"1984/11/30";1100,257
"1984/12/31";1102,218
"1985/01/31";1198,887
"1985/02/28";1221,285
"1985/03/31";1252,038
"1985/04/30";1260,587
"1985/05/31";1283,571
"1985/06/30";1315,234
"1985/07/31";1358,45
"1985/08/31";1399,076
"1985/09/30";1413,352
"1985/10/31";1451,876
"1985/11/30";1485,694
"1985/12/31";1486,258
"1986/01/31";1626,754
"1986/02/28";1667,139
"1986/03/31";1693,09
"1986/04/30";1705,6
"1986/05/31";1756,498
"1986/06/30";1792,887
"1986/07/31";1826,162
"1986/08/31";1837,657
"1986/09/30";1859,016
"1986/10/31";1887,04
"1986/11/30";1925,631
"1986/12/31";1939,39
"1987/01/31";2066,891
"1987/02/28";2130,918
"1987/03/31";2175,168
"1987/04/30";2225,165
"1987/05/31";2275,153
"1987/06/30";2314,784
"1987/07/31";2374,104
"1987/08/31";2409,871
"1987/09/30";2484,639
"1987/10/31";2512,333
"1987/11/30";2527,706
"1987/12/31";2511,525
"1988/01/31";2651,113
"1988/02/29";2710,153
"1988/03/31";2704,18
"1988/04/30";2778,351
"1988/05/31";2853,442
"1988/06/30";2923,268
"1988/07/31";2951,248
"1988/08/31";2990,87
"1988/09/30";3026,674
"1988/10/31";3069,166
"1988/11/30";3161,022
"1988/12/31";3120,494
"1989/01/31";3326,479
"1989/02/28";3439,714
"1989/03/31";3507,115
"1989/04/30";3551,88
"1989/05/31";3718,619
"1989/06/30";3830,281
"1989/07/31";3976,4897
"1989/08/31";4055,1489
"1989/09/30";4057,9932
"1989/10/31";4133,3681
"1989/11/30";4232,1736
"1989/12/31";4249,8081
"1990/01/31";4488,145741
"1990/02/28";4661,650138
"1990/03/31";4755,682838
"1990/04/30";4931,263902
"1990/05/31";4860,756983
"1990/06/30";5015,875995
"1990/07/31";5169,031041
"1990/08/31";5228,220687
"1990/09/30";5358,75898
"1990/10/31";5453,621149
"1990/11/30";5582,967818
"1990/12/31";5665,688491
"1991/01/31";5895,058611
"1991/02/28";5994,918334
"1991/03/31";6015,499999
"1991/04/30";6287,992977
"1991/05/31";6374,380483
"1991/06/30";6393,297436
"1991/07/31";6327,453458
"1991/08/31";6303,562789
"1991/09/30";6637,203493
"1991/10/31";6929,897915
"1991/11/30";7361,093402
"1991/12/31";7590,534275
"1992/01/31";8130,700546
"1992/02/29";8319,7146
"1992/03/31";8693,669578
"1992/04/30";8925,154189
"1992/05/31";9115,275303
"1992/06/30";9397,750999
"1992/07/31";9434,798381
"1992/08/31";9333,168293
"1992/09/30";9608,400195
"1992/10/31";9891,441951
"1992/11/30";10275,905028
"1992/12/31";10632,589344
"1993/01/31";11015,455468
"1993/02/28";11339,107182
"1993/03/31";11484,969892
"1993/04/30";11857,237308
"1993/05/31";12298,746778
"1993/06/30";12690,395439
"1993/07/31";13368,479585
"1993/08/31";13641,646389
"1993/09/30";13866,37256
"1993/10/31";14309,081883
"1993/11/30";15192,734771
"1993/12/31";15560,858036
"1994/01/31";16516,345754327
"1994/02/28";16816,602030821
"1994/03/31";17121,109431379
"1994/04/30";17756,725485623
"1994/05/31";18647,965501892
"1994/06/30";18678,23161641
"1994/07/31";19531,734589678
"1994/08/31";19769,95225432
"1994/09/30";20535,427563606
"1994/10/31";20819,442913445
"1994/11/30";21660,744274606
"1994/12/31";22459,355072423
"1995/01/31";23287,428417819
"1995/02/28";23562,428548577
"1995/03/31";24425,886454809
"1995/04/30";25010,484167096
"1995/05/31";25737,497815066
"1995/06/30";26070,14908783
"1995/07/31";26656,336927978
"1995/08/31";26512,513900046
"1995/09/30";27793,905921655
"1995/10/31";28395,659357671
"1995/11/30";28647,300016941
"1995/12/31";29161,126132486
"1996/01/31";29791,112907429
"1996/02/29";30173,735686947
"1996/03/31";31020,555583263
"1996/04/30";31785,510348883
"1996/05/31";32251,616146136
"1996/06/30";32601,729903414
"1996/07/31";33567,538255972
"1996/08/31";33825,486437028
"1996/09/30";34762,474921081
"1996/10/31";34793,016348365
"1996/11/30";35823,792042705
"1996/12/31";38207,110199196
"1997/01/31";38586,474406319
"1997/02/28";38501,50273797
"1997/03/31";38948,092418762
"1997/04/30";40089,963883333
"1997/05/31";40621,905618384
"1997/06/30";41619,899385752
"1997/07/31";42582,501924421
"1997/08/31";42830,775912617
"1997/09/30";43960,728181395
"1997/10/31";44631,100448801
"1997/11/30";46588,311805459
"1997/12/31";48425,872486933
"1998/01/31";48645,333395018
"1998/02/28";48804,171682742
"1998/03/31";49804,203010028
"1998/04/30";50203,27375942
"1998/05/31";51511,611108278
"1998/06/30";51607,8337848
"1998/07/31";51857,61757245
"1998/08/31";52082,175240147
"1998/09/30";50995,38762625
"1998/10/31";50796,448133377
"1998/11/30";51570,599105989
"1998/12/31";52035,137474849
"1999/01/31";52759,400044467
"1999/02/28";53249,287909645
"1999/03/31";52699,703296303
"1999/04/30";53709,429159077
"1999/05/31";53067,7936937126
"1999/06/30";52567,830973494
"1999/07/31";52350,634799149
"1999/08/31";52631,06960069
"1999/09/30";52072,292306229
"1999/10/31";52486,588845985
"1999/11/30";53445,7095885875
"1999/12/31";53954,8584306294
"2000/01/31";54917,5570740613
"2000/02/29";53096,5606877913
"2000/03/31";52930,2669529313
"2000/04/30";53333,042139332
"2000/05/31";53062,3452645157
"2000/06/30";52791,0611059692
"2000/07/31";53449,7369497624
"2000/08/31";52617,8559334646
"2000/09/30";52973,7004557958
"2000/10/31";53840,5401143436
"2000/11/30";54908,7869776391
"2000/12/31";55206,8391749548
"2001/01/31";55169,8923171129
"2001/02/28";55798,4768126764
"2001/03/31";55702,0019842044
"2001/04/30";55905,8110440197
"2001/05/31";56234,3390789972
"2001/06/30";56452,7599622278
"2001/07/31";56754,8186620626
"2001/08/31";56989,3395379849
"2001/09/30";57176,3780400131
"2001/10/31";58393,6632382518
"2001/11/30";59057,4303971219
"2001/12/31";59974,5182915338
"2002/01/31";59026,9901265192
"2002/02/28";59426,503350574
"2002/03/31";59557,7699855132
"2002/04/30";60573,8817406832
"2002/05/31";60547,380040121
"2002/06/30";59998,6364656732
"2002/07/31";60210,2167457934
"2002/08/31";60267,6807548303
"2002/09/30";61076,5068559588
"2002/10/31";61145,2988215887
"2002/11/30";62584,2614580168
"2002/12/31";63981,9671294868
"2003/01/31";63956,7474842963
"2003/02/28";65031,9763621489
"2003/03/31";65650,8831968234
"2003/04/30";65440,8685532366
"2003/05/31";66856,22451606
"2003/06/30";67900,55563318
"2003/07/31";67662,90375126
"2003/08/31";68255,75918132
"2003/09/30";68432,18777017
"2003/10/31";67762,72738726
"2003/11/30";69631,64277385
"2003/12/31";71429,65265915
"2004/01/31";71636,99287176
"2004/02/29";72357,4922976
"2004/03/31";73330,12793021
"2004/04/30";73563,07319684
"2004/05/31";73300,68919064
"2004/06/30";75910,49644771
"2004/07/31";75854,04780424
"2004/08/31";76731,62042976
"2004/09/30";78047,24574585
"2004/10/31";78850,6020032
"2004/11/30";80794,09805477
"2004/12/31";83798,80366652
"2005/01/31";84700,61059446
"2005/02/28";84766,83692944
"2005/03/31";86508,0083923
"2005/04/30";87340,24678891
"2005/05/31";88806,7795464
"2005/06/30";88833,84510625
"2005/07/31";89054,47790524
"2005/08/31";89206,11928971
"2005/09/30";91856,06696363
"2005/10/31";93666,40726408
"2005/11/30";97446,00523126
"2005/12/31";96993,44390475
"2006/01/31";97553,43321388
"2006/02/28";97966,78729073
"2006/03/31";96659,82140544
"2006/04/30";101307,70348353
"2006/05/31";101225,15384895
"2006/06/30";102776,84341774
"2006/07/31";105263,52007199
"2006/08/31";105980,31502568
"2006/09/30";105545,04856218
"2006/10/31";108168,70382453
"2006/11/30";112621,05859043
"2006/12/31";112492,12517803
"2007/01/31";111911,36582866
"2007/02/28";114672,65261231
"2007/03/31";121140,22939827
"2007/04/30";122432,30702699
"2007/05/31";124214,40414312
"2007/06/30";121353,26344815
"2007/07/31";125317,66562287
"2007/08/31";123021,18208926
"2007/09/30";128595,28638329
"2007/10/31";130850,02126104
"2007/11/30";135811,2807907
"2007/12/31";134263,63954964
"2008/01/31";136004,65775063
"2008/02/29";136147,77965762
"2008/03/31";137598,25184453
"2008/04/30";141268,07021712
"2008/05/31";140624,29679627
"2008/06/30";141180,51904055
"2008/07/31";142803,89890065
"2008/08/31";145865,49157024
"2008/09/30";149528,33991137
"2008/10/31";151361,94123653
"2008/11/30";156856,95991706
"2008/12/31";160243,41093512
"2009/01/31";161725,81217598
"2009/02/28";163726,41527856
"2009/03/31";163754,72581408
"2009/04/30";162597,89398924
"2009/05/31";164974,20266831
"2009/06/30";166304,09908616
"2009/07/31";167658,17200281
"2009/08/31";167647,81363405
"2009/09/30";165891,21217432
"2009/10/31";169209,21738289
"2009/11/30";173713,8807457
"2009/12/31";171692,92945684
"2010/01/31";175046,79796064
"2010/02/28";175784,71681194
"2010/03/31";174369,04678053
"2010/04/30";175276,06408489
"2010/05/31";176005,92429692
"2010/06/30";177603,9100816
"2010/07/31";178672,00362012
"2010/08/31";179617,5044875
"2010/09/30";180146,57107674
"2010/10/31";183379,71252538
"2010/11/30";188810,39657664
"2010/12/31";190294,39029006
"2011/01/31";190890,34435818
"2011/02/28";194107,20212987
"2011/03/31";196288,38700914
"2011/04/30";194266,07328499
"2011/05/31";200242,48168251
"2011/06/30";202789,31793447
"2011/07/31";203566,80681694
"2011/08/31";210337,31480154
"2011/09/30";210181,42733352
"2011/10/31";214557,55344841
"2011/11/30";222288,64912662
"2011/12/31";226515,26671677
"2012/01/31";226519,65518609
"2012/02/29";231307,39044233
"2012/03/31";232841,80250059
"2012/04/30";234127,00279587
"2012/05/31";236191,06650701
"2012/06/30";237861,9807285
"2012/07/31";237726,1440269
"2012/08/31";243622,95993819
