Fecha,IPC_0,IPC_1,IPC_2,CuasidinerosTotal,DepositosSistemaFinanciero,M2,M3,IPC_Y
2018-06-30,99.3111507800769,99.1577914168873,98.9068958253724,336594.62820726,421873.10370509,435435.79010983,475431.66727011,99.1844940507696
2018-07-31,99.1844940507696,99.3111507800769,99.1577914168873,338416.10229258,426518.24850392,439512.06171316,480066.50163939,99.3032640940607
2018-08-31,99.3032640940607,99.1844940507696,99.3111507800769,341022.72659049,427068.82968086,441587.12589566,480740.36325505,99.4671129799915
2018-09-30,99.4671129799915,99.3032640940607,99.1844940507696,336903.91483384,423669.69014813,437095.43834547,477315.97841663,99.5868378853474
2018-10-31,99.5868378853474,99.4671129799915,99.3032640940607,340733.15760598,424522.71663637,442508.28681682,480678.03698518,99.7035425508244
2018-11-30,99.7035425508244,99.5868378853474,99.4671129799915,344640.26209739,434789.01918079,450343.88375449,491324.5069794,100.0
2018-12-31,100.0,99.7035425508244,99.5868378853474,342612.75818876,440026.17501995,459008.57676798,504403.73715239,100.59854
2019-01-31,100.59854,100.0,99.7035425508244,342749.00031666,429881.24687755,450513.55102904,490944.0170109,101.17675
2019-02-28,101.17675,100.59854,100.0,348494.90122595,437212.04230963,456836.4008451,497634.53439109,101.61572
2019-03-31,101.61572,101.17675,100.59854,353771.77503435,445032.11595586,462736.64181548,504081.30898883,102.11886
2019-04-30,102.11886,101.61572,101.17675,354803.00166104,448853.69341362,463623.77389087,507576.31153485,102.43927
2019-05-31,102.43927,102.11886,101.61572,356837.72339329,446322.5145275,464368.30014481,506184.25134364,102.71377
2019-06-30,102.71377,102.43927,102.11886,359032.66380764,452232.91981182,469979.64794607,513676.53840952,102.93898
2019-07-31,102.93898,102.71377,102.43927,361764.88314894,453896.53020322,473851.68428339,517206.25247292,103.02736
2019-08-31,103.02736,102.93898,102.71377,362581.92285893,457748.39886555,476434.57439245,520341.86899213,103.26274
2019-09-30,103.26274,103.02736,102.93898,362203.21425582,460814.91062908,476248.52221998,523692.42028063,103.42652
2019-10-31,103.42652,103.26274,103.02736,365656.38655929,459595.1090709,480525.42145035,525468.64088596,103.53506
2019-11-30,103.53506,103.42652,103.26274,372279.70916829,473584.98759966,493116.94563077,540137.33051293,103.8043
2019-12-31,103.8043,103.53506,103.42652,370958.89201229,468863.52033944,498840.46571103,543914.8415981,104.24251
2020-01-31,104.24251,103.8043,103.53506,372881.37786686,466906.4058072,492344.98266383,536960.29913866,104.94058
2020-02-29,104.94058,104.24251,103.8043,377514.90452735,476089.83699269,497989.90922042,544669.70236889,105.53395
2020-03-31,105.53395,104.94058,104.24251,389119.41010995,502396.40052241,527111.48602786,573393.76012641,105.69958
2020-04-30,105.69958,105.53395,104.94058,399328.95091231,511382.14730214,539776.42490515,587003.41883441,105.36296
2020-05-31,105.36296,105.69958,105.53395,403447.72891661,511425.72360576,543768.80424764,589884.80212958,104.9666
2020-06-30,104.9666,105.36296,105.69958,405849.3775668,515481.06070035,550695.14577075,596319.03845651,104.96809
2020-07-31,104.96809,104.9666,105.36296,410751.4690764,514854.42211074,553114.76292088,597630.22978971,104.96232
2020-08-31,104.96232,104.96809,104.9666,406693.48552032,514039.36507442,551098.67396887,597058.23398975,105.29436
2020-09-30,105.29436,104.96232,104.96809,405392.25653742,511465.43914065,549796.35158561,596945.90981412,105.23455
2020-10-31,105.23455,105.29436,104.96232,406778.71812688,515885.53583043,553622.69860132,600731.04478402,105.07719
2020-11-30,105.07719,105.23455,105.29436,406753.99046861,518169.66057381,556101.70255226,605540.33807171,105.47602
