"Fecha";"Miles de millones COP"
"1984/01/31";1068,069
"1984/02/29";1076,641
"1984/03/31";1088,525
"1984/04/30";1099,721
"1984/05/31";1104,846
"1984/06/30";1128,912
"1984/07/31";1139,474
"1984/08/31";1156,238
"1984/09/30";1190,64
"1984/10/31";1208,883
"1984/11/30";1229,885
"1984/12/31";1311,002
"1985/01/31";1345,568
"1985/02/28";1361,751
"1985/03/31";1391,112
"1985/04/30";1398,95
"1985/05/31";1430,579
"1985/06/30";1470,126
"1985/07/31";1507,542
"1985/08/31";1543,207
"1985/09/30";1554,922
"1985/10/31";1609,824
"1985/11/30";1651,619
"1985/12/31";1749,962
"1986/01/31";1809,231
"1986/02/28";1847,005
"1986/03/31";1883,338
"1986/04/30";1893,797
"1986/05/31";1946,835
"1986/06/30";1997,335
"1986/07/31";2024,754
"1986/08/31";2031,535
"1986/09/30";2047,631
"1986/10/31";2090,544
"1986/11/30";2136,357
"1986/12/31";2249,845
"1987/01/31";2295,455
"1987/02/28";2355,717
"1987/03/31";2394,454
"1987/04/30";2464,306
"1987/05/31";2517,123
"1987/06/30";2570,267
"1987/07/31";2618,831
"1987/08/31";2656,632
"1987/09/30";2742,463
"1987/10/31";2775,235
"1987/11/30";2796,74
"1987/12/31";2923,267
"1988/01/31";2976,674
"1988/02/29";3037,116
"1988/03/31";3050,83
"1988/04/30";3103,613
"1988/05/31";3164,35
"1988/06/30";3274,411
"1988/07/31";3282,471
"1988/08/31";3332,369
"1988/09/30";3356,636
"1988/10/31";3409,854
"1988/11/30";3547,292
"1988/12/31";3641,368
"1989/01/31";3712,418
"1989/02/28";3812,397
"1989/03/31";3891,738
"1989/04/30";3947,069
"1989/05/31";4130,008
"1989/06/30";4257,28
"1989/07/31";4379,6527
"1989/08/31";4472,9879
"1989/09/30";4464,6872
"1989/10/31";4536,6201
"1989/11/30";4696,8536
"1989/12/31";4892,5461
"1990/01/31";4999,615741
"1990/02/28";5169,352138
"1990/03/31";5254,583838
"1990/04/30";5429,617902
"1990/05/31";5398,717983
"1990/06/30";5563,341995
"1990/07/31";5684,243041
"1990/08/31";5751,549687
"1990/09/30";5885,86298
"1990/10/31";6029,362149
"1990/11/30";6170,059818
"1990/12/31";6482,994491
"1991/01/31";6550,766611
"1991/02/28";6624,421334
"1991/03/31";6660,031999
"1991/04/30";6893,328977
"1991/05/31";7030,711483
"1991/06/30";7094,673436
"1991/07/31";7018,164458
"1991/08/31";6967,983789
"1991/09/30";7294,787493
"1991/10/31";7688,167915
"1991/11/30";8133,561402
"1991/12/31";8623,047275
"1992/01/31";8964,148546
"1992/02/29";9124,8486
"1992/03/31";9490,146578
"1992/04/30";9803,389189
"1992/05/31";10016,270303
"1992/06/30";10346,758999
"1992/07/31";10372,077381
"1992/08/31";10253,326293
"1992/09/30";10576,263195
"1992/10/31";10869,738951
"1992/11/30";11302,005028
"1992/12/31";12039,135344
"1993/01/31";12131,881468
"1993/02/28";12422,559182
"1993/03/31";12662,853892
"1993/04/30";13012,259308
"1993/05/31";13434,664778
"1993/06/30";13919,895439
"1993/07/31";14582,617585
"1993/08/31";14808,439389
"1993/09/30";15119,00456
"1993/10/31";15584,635883
