"Fecha";"Porcentaje (%)"
"2002/05/31";16,44
"2002/06/30";16,12
"2002/07/31";15,65
"2002/08/31";14,88
"2002/09/30";15,2
"2002/10/31";15,6
"2002/11/30";15,6
"2002/12/31";14,93
"2003/01/31";14,66
"2003/02/28";15,09
"2003/03/31";15,1
"2003/04/30";14,76
"2003/05/31";15,98
"2003/06/30";14,9
"2003/07/31";15,06
"2003/08/31";15,35
"2003/09/30";15,19
"2003/10/31";15,46
"2003/11/30";15,63
"2003/12/31";14,97
"2004/01/31";14,76
"2004/02/29";15,39
"2004/03/31";15,19
"2004/04/30";15,74
"2004/05/31";15,15
"2004/06/30";14,8
"2004/07/31";14,81
"2004/08/31";14,89
"2004/09/30";15,13
"2004/10/31";15,2
"2004/11/30";14,83
"2004/12/31";15,04
"2005/01/31";14,96
"2005/02/28";15,18
"2005/03/31";15,04
"2005/04/30";15,16
"2005/05/31";14,71
"2005/06/30";14,49
"2005/07/31";15,04
"2005/08/31";14,72
"2005/09/30";14,6
"2005/10/31";13,67
"2005/11/30";13,8
"2005/12/31";13,29
"2006/01/31";13,36
"2006/02/28";13,56
"2006/03/31";13,56
"2006/04/30";12,94
"2006/05/31";12,33
"2006/06/30";12,09
"2006/07/31";12,31
"2006/08/31";12,84
"2006/09/30";13,12
"2006/10/31";12,69
"2006/11/30";12,88
"2006/12/31";13,04
"2007/01/31";12,93
"2007/02/28";13,4
"2007/03/31";13,92
"2007/04/30";14,52
"2007/05/31";14,83
"2007/06/30";15,33
"2007/07/31";16,17
"2007/08/31";16,42
"2007/09/30";16,84
"2007/10/31";16,79
"2007/11/30";16,82
"2007/12/31";16,6
"2008/01/31";16,62
"2008/02/29";16,6
"2008/03/31";16,93
"2008/04/30";17,61
"2008/05/31";17,17
"2008/06/30";17,11
"2008/07/31";17,09
"2008/08/31";17,3
"2008/09/30";17,38
"2008/10/31";17,08
"2008/11/30";17,77
"2008/12/31";17,72
"2009/01/31";17,25
"2009/02/28";16,63
"2009/03/31";15,78
"2009/04/30";14,53
"2009/05/31";13,05
"2009/06/30";12,48
"2009/07/31";11,93
"2009/08/31";11,59
"2009/09/30";11,49
"2009/10/31";11,09
"2009/11/30";10,3
"2009/12/31";9,92
"2010/01/31";9,91
"2010/02/28";9,94
"2010/03/31";9,82
"2010/04/30";9,86
"2010/05/31";9,34
"2010/06/30";9,26
"2010/07/31";9,38
"2010/08/31";9,23
"2010/09/30";9,18
"2010/10/31";9,19
"2010/11/30";8,78
"2010/12/31";8,69
"2011/01/31";10,02
"2011/02/28";10,26
"2011/03/31";10,64
"2011/04/30";10,73
"2011/05/31";10,96
"2011/06/30";11,31
"2011/07/31";11,32
"2011/08/31";11,71
"2011/09/30";11,79
"2011/10/31";11,95
"2011/11/30";11,93
"2011/12/31";11,98
"2012/01/31";12,75
"2012/02/29";12,85
"2012/03/31";13,07
"2012/04/30";12,83
"2012/05/31";12,98
"2012/06/30";12,6
"2012/07/31";12,47
"2012/08/31";13,04
"2012/09/30";12,29
"2012/10/31";12,45
"2012/11/30";12,04
"2012/12/31";11,64
"2013/01/31";12,08
"2013/02/28";11,72
"2013/03/31";11,43
"2013/04/30";10,88
"2013/05/31";10,49
"2013/06/30";10,27
"2013/07/31";11,09
"2013/08/31";10,74
"2013/09/30";11,17
"2013/10/31";11
"2013/11/30";10,97
"2013/12/31";9,96
"2014/01/31";11,06
"2014/02/28";10,64
"2014/03/31";10,58
"2014/04/30";10,57
"2014/05/31";10,61
"2014/06/30";10,41
"2014/07/31";11,39
"2014/08/31";11,15
"2014/09/30";11,34
"2014/10/31";11,14
"2014/11/30";10,97
"2014/12/31";10,55
"2015/01/31";11,71
"2015/02/28";11,13
"2015/03/31";11,33
"2015/04/30";10,95
"2015/05/31";11,51
"2015/06/30";10,98
"2015/07/31";11,64
"2015/08/31";10,84
"2015/09/30";11,23
"2015/10/31";11,61
"2015/11/30";12,15
"2015/12/31";12,33
"2016/01/31";12,93
"2016/02/29";13,33
"2016/03/31";13,91
"2016/04/30";14,77
"2016/05/31";14,82
"2016/06/30";14,77
"2016/07/31";15,28
"2016/08/31";15,23
"2016/09/30";15,34
"2016/10/31";15,41
"2016/11/30";15,52
"2016/12/31";14,45
"2017/01/31";15,11
"2017/02/28";14,87
"2017/03/31";15,13
"2017/04/30";14,47
"2017/05/31";14,02
"2017/06/30";13,5
"2017/07/31";13,58
"2017/08/31";13,27
"2017/09/30";12,69
"2017/10/31";13,05
"2017/11/30";12,87
"2017/12/31";11,66
"2018/01/31";12,53
"2018/02/28";12,06
"2018/03/31";11,72
"2018/04/30";12,21
"2018/05/31";12,37
"2018/06/30";12,35
"2018/07/31";12,33
"2018/08/31";12,49
"2018/09/30";12,25
"2018/10/31";11,98
"2018/11/30";11,96
"2018/12/31";11,13
"2019/01/31";12,69
"2019/02/28";11,93
"2019/03/31";12,05
"2019/04/30";11,89
"2019/05/31";12,26
"2019/06/30";11,47
"2019/07/31";12,28
"2019/08/31";11,64
"2019/09/30";11,52
"2019/10/31";11,54
"2019/11/30";11,24
"2019/12/31";10,71
"2020/01/31";11,72
"2020/02/29";11,18
"2020/03/31";10,26
"2020/04/30";9,32
"2020/05/31";10,02
"2020/06/30";10,03
"2020/07/31";9,96
"2020/08/31";9,51
"2020/09/30";9,19
"2020/10/31";9,46
"2020/11/30";9,15
"2020/12/31";8,41
"2021/01/31";9,35
"2021/02/28";9,02
"2021/03/31";8,95
"2021/04/30";8,71
"2021/05/31";8,2
"2021/06/30";8,85
