"Fecha";"Miles de millones COP"
"2002/05/31";2960,28800467495
"2002/06/30";3008,36748643495
"2002/07/31";3496,01721204495
"2002/08/31";3421,58884993495
"2002/09/30";3549,65657767495
"2002/10/31";3310,88956228495
"2002/11/30";3241,02532723495
"2002/12/31";3307,57745271495
"2003/01/31";3278,47361042495
"2003/02/28";3272,23160717495
"2003/03/31";3089,47844884495
"2003/04/30";2809,84516094495
"2003/05/31";2694,46885254495
"2003/06/30";2586,75778208495
"2003/07/31";2592,90011012495
"2003/08/31";2512,32036079495
"2003/09/30";2577,56477472495
"2003/10/31";2525,17270954495
"2003/11/30";2413,30971504495
"2003/12/31";2272,81853309495
"2004/01/31";2363,12572356495
"2004/02/29";2408,79868980495
"2004/03/31";2480,09390762495
"2004/04/30";2643,71335543495
"2004/05/31";2734,84810842495
"2004/06/30";2934,23266332495
"2004/07/31";3330,27346401495
"2004/08/31";3260,01041858495
"2004/09/30";3787,04390362495
"2004/10/31";3804,83361904495
"2004/11/30";3591,31251241619
"2004/12/31";3515,09667303619
"2005/01/31";4069,37548786619
"2005/02/28";4240,73972394
"2005/03/31";4118,76728157
"2005/04/30";3800,80994205
"2005/05/31";3762,36164905
"2005/06/30";3794,83173883
"2005/07/31";4222,45684874
"2005/08/31";4595,54934938
"2005/09/30";4770,03767882
"2005/10/31";4765,45765691
"2005/11/30";4833,02751056
"2005/12/31";4761,50370344
"2006/01/31";5349,70002456
"2006/02/28";5455,7862739
"2006/03/31";5516,96263088
"2006/04/30";5441,18779691
"2006/05/31";5711,81510825
"2006/06/30";5320,41312539
"2006/07/31";4225,22235849
"2006/08/31";3892,81994052
"2006/09/30";3822,98290078
"2006/10/31";3816,04820709
"2006/11/30";3992,14378847
"2006/12/31";3833,9389522
"2007/01/31";3988,39071906
"2007/02/28";4096,54228712
"2007/03/31";4460,91410184
"2007/04/30";5156,51574605
"2007/05/31";5017,83092351
"2007/06/30";5661,06879696
"2007/07/31";6225,67855894
"2007/08/31";7062,98233128
"2007/09/30";6521,50425516
"2007/10/31";6680,95908999
"2007/11/30";6971,55665482
"2007/12/31";6553,05224918
"2008/01/31";6064,93159378
"2008/02/29";5979,50897998
"2008/03/31";5989,05441268
"2008/04/30";6190,57424877
"2008/05/31";6406,4608799
"2008/06/30";7076,48073104
"2008/07/31";6578,61959362
"2008/08/31";7150,67306556
"2008/09/30";7740,4962791
"2008/10/31";8699,78454907
"2008/11/30";8343,82965139
"2008/12/31";7550,08653167
"2009/01/31";7888,50231384
"2009/02/28";7883,72192858
"2009/03/31";6960,14162463
"2009/04/30";5527,60715573
"2009/05/31";5143,91869862
"2009/06/30";4854,80580001
"2009/07/31";4429,87009678
"2009/08/31";4413,13699947
"2009/09/30";4193,96934026
"2009/10/31";4403,80394714
"2009/11/30";4377,743864
