"Fecha";"Miles de millones COP"
"2002/05/31";45675,5944213157
"2002/06/30";46060,7701327488
"2002/07/31";46298,3617749843
"2002/08/31";46550,4788354259
"2002/09/30";47190,9693096419
"2002/10/31";47607,6654017297
"2002/11/30";47668,5497556427
"2002/12/31";48833,854809658
"2003/01/31";48678,5366629189
"2003/02/28";49079,6289713196
"2003/03/31";49575,9992140738
"2003/04/30";50528,0062088808
"2003/05/31";50983,6146137929
"2003/06/30";50536,6866509942
"2003/07/31";50863,8567742632
"2003/08/31";51246,2459172913
"2003/09/30";51648,1537743673
"2003/10/31";52534,4497646459
"2003/11/30";52800,2334100551
"2003/12/31";52984,8040718813
"2004/01/31";54168,7976340347
"2004/02/29";54741,0187409662
"2004/03/31";54557,1428268951
"2004/04/30";54908,7870575692
"2004/05/31";55565,4463770678
"2004/06/30";56518,7470887665
"2004/07/31";56882,21192556
"2004/08/31";57250,9028502634
"2004/09/30";57742,0777771253
"2004/10/31";58396,6293109862
"2004/11/30";59683,3695252102
"2004/12/31";59795,6655360729
"2005/01/31";59287,1943909123
"2005/02/28";59635,0763016558
"2005/03/31";60807,4523498716
"2005/04/30";62092,1109385419
"2005/05/31";62841,1059938359
"2005/06/30";64202,446127641
"2005/07/31";64152,1239214104
"2005/08/31";64212,2473266108
"2005/09/30";64781,5703319242
"2005/10/31";65669,7934217157
"2005/11/30";66991,9042382641
"2005/12/31";68613,874157523
"2006/01/31";68886,9840476016
"2006/02/28";70282,3444800302
"2006/03/31";71237,8972769652
"2006/04/30";73879,9542017867
"2006/05/31";76627,0274623582
"2006/06/30";79815,205724705
"2006/07/31";83026,8529240526
"2006/08/31";85382,185573992
"2006/09/30";87672,2441096578
"2006/10/31";89477,059716122
"2006/11/30";92133,8062859615
"2006/12/31";93885,9479048524
"2007/01/31";95350,1611070278
"2007/02/28";97407,3370063478
"2007/03/31";99296,8880737548
"2007/04/30";100101,107901619
"2007/05/31";103917,10322935
"2007/06/30";105060,654359504
"2007/07/31";106134,513405289
"2007/08/31";108366,248472825
"2007/09/30";111561,266129241
"2007/10/31";114684,379332184
"2007/11/30";116767,081821579
"2007/12/31";117656,684369625
"2008/01/31";118934,314173709
"2008/02/29";120532,896010306
"2008/03/31";121856,517938918
"2008/04/30";123192,425488345
"2008/05/31";124314,173176693
"2008/06/30";126736,75295246
"2008/07/31";129432,512660727
"2008/08/31";130393,864557656
"2008/09/30";132729,12864375
"2008/10/31";136090,768433096
"2008/11/30";138461,995234901
"2008/12/31";138918,423464916
"2009/01/31";138207,483278397
"2009/02/28";138577,227661085
"2009/03/31";139188,288175078
"2009/04/30";141015,11172975
"2009/05/31";143629,702955446
"2009/06/30";144308,22944553
"2009/07/31";144605,672120749
"2009/08/31";142665,213359879
"2009/09/30";143520,120385067
"2009/10/31";143834,272286793
"2009/11/30";144540,452942291
"2009/12/31";144935,327096643
"2010/01/31";145160,432094107
"2010/02/28";146123,665848878
"2010/03/31";146872,306483424
"2010/04/30";147264,891623533
"2010/05/31";149892,941960553
"2010/06/30";152033,209014302
"2010/07/31";152796,347695507
"2010/08/31";153963,022016255
"2010/09/30";158799,591287731
"2010/10/31";159934,936631729
"2010/11/30";163268,67424881
"2010/12/31";165011,950835955
"2011/01/31";165152,189531254
"2011/02/28";168137,0876971
"2011/03/31";171156,900169199
"2011/04/30";174276,912761032
"2011/05/31";177263,409470472
"2011/06/30";181610,825409425
"2011/07/31";183998,843364349
"2011/08/31";187584,92219319
"2011/09/30";190581,238853493
"2011/10/31";192875,423522167
"2011/11/30";197174,02089824
"2011/12/31";200351,452186066
"2012/01/31";200516,787406922
"2012/02/29";204371,843263322
"2012/03/31";207346,184430303
"2012/04/30";209421,67528007
"2012/05/31";212542,609892694
"2012/06/30";216206,921058941
"2012/07/31";218578,320940804
"2012/08/31";220070,646436484
"2012/09/30";222921,167931637
"2012/10/31";225552,137052733
"2012/11/30";229816,49592423
"2012/12/31";232774,493978088
"2013/01/31";232109,715012126
"2013/02/28";234426,241666448
"2013/03/31";236272,445616996
"2013/04/30";238224,24928392
"2013/05/31";241884,985975532
"2013/06/30";246731,804415943
"2013/07/31";249376,710149339
"2013/08/31";252460,301311105
"2013/09/30";256386,864018928
"2013/10/31";260131,164987192
"2013/11/30";263280,687661135
"2013/12/31";265081,884564935
"2014/01/31";265580,302627424
"2014/02/28";268616,441266673
"2014/03/31";272056,112616306
"2014/04/30";277065,719261694
"2014/05/31";281666,904747245
"2014/06/30";285935,844782647
"2014/07/31";288367,383565865
"2014/08/31";290854,594116945
"2014/09/30";291819,59767786
"2014/10/31";295777,141098431
"2014/11/30";300349,03317045
"2014/12/31";301726,531247489
"2015/01/31";301724,574115286
"2015/02/28";306531,852892743
"2015/03/31";308565,327010027
"2015/04/30";314202,087303369
"2015/05/31";318668,63139857
"2015/06/30";321929,310503423
"2015/07/31";325415,262849039
"2015/08/31";331191,691355387
"2015/09/30";335621,727162707
"2015/10/31";340388,312327317
"2015/11/30";342826,615325677
"2015/12/31";345799,061803766
"2016/01/31";345927,255980261
"2016/02/29";350704,059801759
"2016/03/31";355129,230529488
"2016/04/30";358690,460731569
"2016/05/31";361870,949361862
"2016/06/30";365968,443845204
"2016/07/31";368152,432239263
"2016/08/31";370532,693832971
"2016/09/30";373006,084546611
"2016/10/31";371872,29631003
"2016/11/30";375654,58644009
"2016/12/31";377898,25785946
"2017/01/31";377047,87764445
"2017/02/28";380350,45607585
"2017/03/31";383422,69044095
"2017/04/30";385669,58763781
"2017/05/31";388459,03522074
"2017/06/30";391448,97365294
"2017/07/31";392162,92818467
"2017/08/31";393738,28467113
"2017/09/30";397338,94623605
"2017/10/31";398737,15049128
"2017/11/30";401720,17141234
"2017/12/31";404576,42894883
"2018/01/31";403818,55770816
"2018/02/28";406952,08028886
"2018/03/31";410625,7281778
"2018/04/30";412581,27967495
"2018/05/31";415285,37707385
"2018/06/30";416900,05890148
"2018/07/31";417084,13310463
"2018/08/31";416507,35967554
"2018/09/30";419063,82936353
"2018/10/31";422474,77554822
"2018/11/30";427374,48354442
"2018/12/31";430777,40100027
"2019/01/31";429370,63176399
"2019/02/28";434473,47765683
"2019/03/31";436743,59890745
"2019/04/30";437911,0731571
"2019/05/31";444152,72935106
"2019/06/30";447198,83198625
"2019/07/31";448977,70829598
"2019/08/31";452458,31491009
"2019/09/30";457643,82204886
"2019/10/31";460971,54601215
"2019/11/30";467275,34039617
"2019/12/31";466307,42733311
"2020/01/31";467022,31157008
"2020/02/29";472422,35293895
"2020/03/31";480684,73453035
"2020/04/30";486757,22683828
"2020/05/31";488696,04349251
"2020/06/30";488587,17593363
"2020/07/31";486209,75465892
"2020/08/31";484338,96324525
"2020/09/30";484593,09055093
"2020/10/31";486533,68500923
"2020/11/30";488900,28303625
"2020/12/31";488964,65280039
"2021/01/31";486772,43620503
"2021/02/28";490530,92220714
"2021/03/31";492704,1699345
"2021/04/30";495553,74560107
"2021/05/31";499184,00691984
"2021/06/30";503502,03829804
