"Fecha";"Índice"
"1999/06/30";43,87
"1999/07/31";44,59
"1999/08/31";45,24
"1999/09/30";45,71
"1999/10/31";46,27
"1999/11/30";46,89
"1999/12/31";47,41
"2000/01/31";48,07
"2000/02/29";49,19
"2000/03/31";49,87
"2000/04/30";50,36
"2000/05/31";50,83
"2000/06/30";51,1
"2000/07/31";51,5
"2000/08/31";51,68
"2000/09/30";52,27
"2000/10/31";52,05
"2000/11/30";52,01
"2000/12/31";52,09
"2001/01/31";53,01
"2001/02/28";53,99
"2001/03/31";54,43
"2001/04/30";55,37
"2001/05/31";55,97
"2001/06/30";55,57
"2001/07/31";55,37
"2001/08/31";55,37
"2001/09/30";55,48
"2001/10/31";54,91
"2001/11/30";54,67
"2001/12/31";54,78
"2002/01/31";55,1
"2002/02/28";55,32
"2002/03/31";55,86
"2002/04/30";56,29
"2002/05/31";56,78
"2002/06/30";56,96
"2002/07/31";57,32
"2002/08/31";58,09
"2002/09/30";59,37
"2002/10/31";60,16
"2002/11/30";59,78
"2002/12/31";60,34
"2003/01/31";61,33
"2003/02/28";62,29
"2003/03/31";62,58
"2003/04/30";62,96
"2003/05/31";62,86
"2003/06/30";62,72
"2003/07/31";62,92
"2003/08/31";63,1
"2003/09/30";62,93
"2003/10/31";63,02
"2003/11/30";63,42
"2003/12/31";63,69
"2004/01/31";64,41
"2004/02/29";65,03
"2004/03/31";65,43
"2004/04/30";65,92
"2004/05/31";66,95
"2004/06/30";67,18
"2004/07/31";66,85
"2004/08/31";66,97
"2004/09/30";67,25
"2004/10/31";68
"2004/11/30";67,83
"2004/12/31";67,24
"2005/01/31";67,85
"2005/02/28";68,7
"2005/03/31";69,95
"2005/04/30";69,75
"2005/05/31";69,75
"2005/06/30";70,1
"2005/07/31";69,99
"2005/08/31";70,18
"2005/09/30";69,83
"2005/10/31";70,16
"2005/11/30";69,84
"2005/12/31";69,74
"2006/01/31";70,57
"2006/02/28";70,61
"2006/03/31";71,43
"2006/04/30";73,16
"2006/05/31";73,95
"2006/06/30";74,53
"2006/07/31";75,2
"2006/08/31";74,96
"2006/09/30";74,69
"2006/10/31";74,4
"2006/11/30";74,08
"2006/12/31";74,37
"2007/01/31";74,72
"2007/02/28";74,79
"2007/03/31";74,98
"2007/04/30";74,94
"2007/05/31";74,37
"2007/06/30";73,88
"2007/07/31";74,09
"2007/08/31";74,97
"2007/09/30";75,91
"2007/10/31";75,83
"2007/11/30";77,01
"2007/12/31";77,92
"2008/01/31";79,01
"2008/02/29";79,92
"2008/03/31";79,69
"2008/04/30";80
"2008/05/31";81,12
"2008/06/30";82,26
"2008/07/31";84,91
"2008/08/31";84,8
"2008/09/30";86,99
"2008/10/31";88,36
"2008/11/30";87,42
"2008/12/31";84,5
"2009/01/31";82,22
"2009/02/28";85,18
"2009/03/31";85,29
"2009/04/30";86,81
"2009/05/31";85,89
"2009/06/30";85,57
"2009/07/31";86,14
